local	hash	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
/nfs/share/instances/gbd/cnf/00063d88244921d6ec46aeab6866a8e2-6s16.cnf.xz	00063d88244921d6ec46aeab6866a8e2	d642ae7fc5e1fd972d4b130407ea4519	miter	unsat	91888	31486	1503071	1	61258	30629	0	0	0	0	0	0	0	68623	47944	13315	36581
/nfs/share/instances/gbd/cnf/00072cf107ae1349c8c59a15c5ce4af1-unif-c1275-v300-s428434218.cnf.xz	00072cf107ae1349c8c59a15c5ce4af1	1ef05341ba4017bd107a9b2aa6bb2841	uniform-random	unknown	1275	300	18322	0	0	1275	0	0	0	0	0	0	0	624	651	176	156
/nfs/share/instances/gbd/cnf/00076733bdbce94d7e44eca84f1425f0-vlsat2_16297_1562268.dimacs.cnf.xz	00076733bdbce94d7e44eca84f1425f0	a10da8b861b1e1a1a17af27060e94f6e	petrinet-concurrency	unsat	1562268	16297	22875440	1	1561890	1	1	1	1	1	1	1	370	1561890	379	379	1561889
/nfs/share/instances/gbd/cnf/000781b7a545fe723159e53127aff659-42-121369.cnf.xz	000781b7a545fe723159e53127aff659	8bf4adb12d796e486a0915ecd7dce20f	station-repacking	unknown	653485	28135	10044450	3	652176	1	1	4	2	0	9	4	1285	652179	1309	1309	652176
/nfs/share/instances/gbd/cnf/000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre.cnf.xz	000a41cdca43be89ed62ea3abf2d0b64	bb3b6ceaeee2d5e9fd8e1066389a8a94	sorting-networks	sat	830517	24517	16343754	0	101968	544762	183690	0	0	6	0	0	91	680173	110547	4244	58680
/nfs/share/instances/gbd/cnf/000e4e0db67e27083649c20a2a3f761b-unif-k5-r16.0-v250000-c4000000-S2840568844400290198.cnf.xz	000e4e0db67e27083649c20a2a3f761b	0e00b2eed7d862a9322e74aff1d2eb36	uniform-random	sat	4000000	250000	149104452	0	0	0	0	4000000	0	0	0	0	0	749155	750175	125491	124936
/nfs/share/instances/gbd/cnf/00107d84f57e2371476a7b2cabe0b351-sudoku-N30-18.cnf.xz	00107d84f57e2371476a7b2cabe0b351	74869413385b1be800a65bb6252cd90d	sudoku	unsat	2262659	841990	45772665	657	1531740	521614	101500	774	17280	0	0	89064	30	2031366	882190	106057	804300
/nfs/share/instances/gbd/cnf/001304ba2e4e8adbd179aa3d8acb697b-x9-03065.sat.sanitized.cnf.xz	001304ba2e4e8adbd179aa3d8acb697b	1d8c6a1369f306c697207991a8fd752a	hamiltonian	unknown	1347	150	15136	0	1227	0	27	66	27	0	0	0	0	1227	120	120	1227
/nfs/share/instances/gbd/cnf/001344c9b3cb1626af1c7c35155cf26a-bench_13439.smt2.cnf.xz	001344c9b3cb1626af1c7c35155cf26a	72b1b54fb940ce8eb1855bbcd8d4a750	agile	unsat	4751686	1313245	108797045	1572	1204899	3468194	76938	1	0	3	55	0	24	2099472	3332928	706329	703153
/nfs/share/instances/gbd/cnf/0020aa0c69379226948904ad455b6c09-unif-k7-r89-v45-c4005-S179716588-02.UNSAT.shuffled.cnf.xz	0020aa0c69379226948904ad455b6c09	7a6379702cd1a466bc7855c1fd39c502	uniform-random	unsat	4005	45	99357	0	0	0	0	0	0	4005	0	0	0	231	265	38	36
/nfs/share/instances/gbd/cnf/00213e27dabcf679205144f3dde5d37e-unif-p12-k5-r21.117-v250-c5279-S8618839184587418381.cnf.xz	00213e27dabcf679205144f3dde5d37e	0afa13deb8144c4a2a366fc314fed25a	uniform-random	sat	5279	250	117580	0	0	0	0	5279	0	0	0	0	0	1007	1018	171	174
/nfs/share/instances/gbd/cnf/0022f125b13bd7ccc91e793431c67a52-Kakuro-easy-048-ext.xml.hg_4.cnf.xz	0022f125b13bd7ccc91e793431c67a52	f29b0ffa0d1e3681bd2df2ad53f73afa	hypertree-decomposition	sat	2786994	41874	64056109	84	60438	1164744	1561728	0	0	0	0	0	0	1918728	341670	3738	11760
/nfs/share/instances/gbd/cnf/0025a06f00f6e467f7cf4ef9e649b2a7-bench_15721.smt2.cnf.xz	0025a06f00f6e467f7cf4ef9e649b2a7	d702bb664671ea32cfe33b04ed2acf99	agile	unknown	297058	84922	5481082	389	113715	170502	12452	0	0	0	0	0	0	170810	167913	98498	24262
