local	hash	isohash	family	result	track	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
/nfs/share/instances/gbd/cnf/00063d88244921d6ec46aeab6866a8e2-6s16.cnf.xz	00063d88244921d6ec46aeab6866a8e2	d642ae7fc5e1fd972d4b130407ea4519	miter	unsat	anni_2022	91888	31486	1503071	1	61258	30629	0	0	0	0	0	0	0	68623	47944	13315	36581
/nfs/share/instances/gbd/cnf/00072cf107ae1349c8c59a15c5ce4af1-unif-c1275-v300-s428434218.cnf.xz	00072cf107ae1349c8c59a15c5ce4af1	1ef05341ba4017bd107a9b2aa6bb2841	uniform-random	unknown	random_2002	1275	300	18322	0	0	1275	0	0	0	0	0	0	0	624	651	176	156
/nfs/share/instances/gbd/cnf/00076733bdbce94d7e44eca84f1425f0-vlsat2_16297_1562268.dimacs.cnf.xz	00076733bdbce94d7e44eca84f1425f0	a10da8b861b1e1a1a17af27060e94f6e	petrinet-concurrency	unsat	None	1562268	16297	22875440	1	1561890	1	1	1	1	1	1	1	370	1561890	379	379	1561889
/nfs/share/instances/gbd/cnf/000781b7a545fe723159e53127aff659-42-121369.cnf.xz	000781b7a545fe723159e53127aff659	8bf4adb12d796e486a0915ecd7dce20f	station-repacking	unknown	None	653485	28135	10044450	3	652176	1	1	4	2	0	9	4	1285	652179	1309	1309	652176
/nfs/share/instances/gbd/cnf/000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre.cnf.xz	000a41cdca43be89ed62ea3abf2d0b64	bb3b6ceaeee2d5e9fd8e1066389a8a94	sorting-networks	sat	anni_2022	830517	24517	16343754	0	101968	544762	183690	0	0	6	0	0	91	680173	110547	4244	58680
/nfs/share/instances/gbd/cnf/000e4e0db67e27083649c20a2a3f761b-unif-k5-r16.0-v250000-c4000000-S2840568844400290198.cnf.xz	000e4e0db67e27083649c20a2a3f761b	0e00b2eed7d862a9322e74aff1d2eb36	uniform-random	sat	random_2017	4000000	250000	149104452	0	0	0	0	4000000	0	0	0	0	0	749155	750175	125491	124936
/nfs/share/instances/gbd/cnf/00107d84f57e2371476a7b2cabe0b351-sudoku-N30-18.cnf.xz	00107d84f57e2371476a7b2cabe0b351	74869413385b1be800a65bb6252cd90d	sudoku	unsat	submissions_2022	2262659	841990	45772665	657	1531740	521614	101500	774	17280	0	0	89064	30	2031366	882190	106057	804300
/nfs/share/instances/gbd/cnf/001304ba2e4e8adbd179aa3d8acb697b-x9-03065.sat.sanitized.cnf.xz	001304ba2e4e8adbd179aa3d8acb697b	1d8c6a1369f306c697207991a8fd752a	hamiltonian	unknown	submissions_2024	1347	150	15136	0	1227	0	27	66	27	0	0	0	0	1227	120	120	1227
/nfs/share/instances/gbd/cnf/001344c9b3cb1626af1c7c35155cf26a-bench_13439.smt2.cnf.xz	001344c9b3cb1626af1c7c35155cf26a	72b1b54fb940ce8eb1855bbcd8d4a750	agile	unsat	agile_2017	4751686	1313245	108797045	1572	1204899	3468194	76938	1	0	3	55	0	24	2099472	3332928	706329	703153
/nfs/share/instances/gbd/cnf/0020aa0c69379226948904ad455b6c09-unif-k7-r89-v45-c4005-S179716588-02.UNSAT.shuffled.cnf.xz	0020aa0c69379226948904ad455b6c09	7a6379702cd1a466bc7855c1fd39c502	uniform-random	unsat	random_2007	4005	45	99357	0	0	0	0	0	0	4005	0	0	0	231	265	38	36
/nfs/share/instances/gbd/cnf/00213e27dabcf679205144f3dde5d37e-unif-p12-k5-r21.117-v250-c5279-S8618839184587418381.cnf.xz	00213e27dabcf679205144f3dde5d37e	0afa13deb8144c4a2a366fc314fed25a	uniform-random	sat	random_2018	5279	250	117580	0	0	0	0	5279	0	0	0	0	0	1007	1018	171	174
/nfs/share/instances/gbd/cnf/0022f125b13bd7ccc91e793431c67a52-Kakuro-easy-048-ext.xml.hg_4.cnf.xz	0022f125b13bd7ccc91e793431c67a52	f29b0ffa0d1e3681bd2df2ad53f73afa	hypertree-decomposition	sat	None	2786994	41874	64056109	84	60438	1164744	1561728	0	0	0	0	0	0	1918728	341670	3738	11760
/nfs/share/instances/gbd/cnf/0025a06f00f6e467f7cf4ef9e649b2a7-bench_15721.smt2.cnf.xz	0025a06f00f6e467f7cf4ef9e649b2a7	d702bb664671ea32cfe33b04ed2acf99	agile	unknown	agile_2017	297058	84922	5481082	389	113715	170502	12452	0	0	0	0	0	0	170810	167913	98498	24262
/nfs/share/instances/gbd/cnf/00260e67c792062bc3e10e6b94522101-46-137775.cnf.xz	00260e67c792062bc3e10e6b94522101	b43d7a0abfd9b9ecc7c8cdf07df14242	station-repacking	unknown	None	889030	32971	13747752	3	887493	1	1	5	2	0	9	5	1511	887496	1537	1537	887493
/nfs/share/instances/gbd/cnf/0026aaf8bbf2df73cb5db34a7b7a7a04-42-132768.cnf.xz	0026aaf8bbf2df73cb5db34a7b7a7a04	d7f6183466dc80f719aed63fec0707bc	station-repacking	unknown	None	809889	31450	12500681	3	808422	1	1	4	2	0	9	4	1443	808425	1467	1467	808422
/nfs/share/instances/gbd/cnf/00274d0721d26f867b2573377712cac9-27.smt2.cnf.xz	00274d0721d26f867b2573377712cac9	a98b53d0f8f0e2f592db32ad49a13198	bitvector	sat	None	284554	89850	5017384	47	147954	136553	0	0	0	0	0	0	0	204797	142502	40947	89461
/nfs/share/instances/gbd/cnf/00275f3018d50ba38867268739dfc44f-x9-04058.sat.sanitized.cnf.xz	00275f3018d50ba38867268739dfc44f	fb9c4b5fc1c151737b9bf2544bafbc56	hamiltonian	unknown	submissions_2024	1795	200	20873	0	1635	0	35	90	35	0	0	0	0	1635	160	160	1635
/nfs/share/instances/gbd/cnf/002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown.cnf.xz	002a0330958a14deb23dcc84b5489e8a	227779ac538cd3a2c78c6ff3d8cad235	scheduling	unsat	anni_2022	763101	33320	19183036	0	52598	92683	617820	0	0	0	0	0	0	93867	93869	5067	5076
/nfs/share/instances/gbd/cnf/002bed2572e6e326815e674f288de8b4-fdmus_b21_341.cnf.xz	002bed2572e6e326815e674f288de8b4	7a0032b8aad3b21cda036a79caa5f6eb	fdmus	unsat	None	7704	2823	106592	6	5334	2364	0	0	0	0	0	0	0	5955	4611	733	2477
/nfs/share/instances/gbd/cnf/003154fc91d34d29ec5cf93b0bc32143-54-78879.cnf.xz	003154fc91d34d29ec5cf93b0bc32143	3918389491f1e0424a221e5a508d30ff	station-repacking	unknown	None	320248	18477	4839266	3	319392	1	1	2	1	0	7	1	840	319395	856	856	319392
/nfs/share/instances/gbd/cnf/00316e383123773ae35d3210f5396205-x9-11064.sat.sanitized.cnf.xz	00316e383123773ae35d3210f5396205	9368b98845a0f9d0557d536ab072e400	hamiltonian	unknown	submissions_2024	4940	550	61464	0	4500	0	100	240	100	0	0	0	0	4500	440	440	4500
/nfs/share/instances/gbd/cnf/0033baadbd48d3f880e9b5a733bd4950-rope_0030.shuffled.cnf.xz	0033baadbd48d3f880e9b5a733bd4950	767c3e4149c9da1265bdfdb3e1526766	coloring	unsat	anni_2022	2520	1080	29236	0	2160	360	0	0	0	0	0	0	0	1810	1772	562	628
/nfs/share/instances/gbd/cnf/0035666407d4ccb5082630045d60a5fe-unif-k5-r21.117-v300-c6335-S7321118839272301463.cnf.xz	0035666407d4ccb5082630045d60a5fe	dbcbcc0d7ada0bf52960d506ac2fdfc7	uniform-random	unknown	random_2012	6335	300	143385	0	0	0	0	6335	0	0	0	0	0	1173	1231	221	195
/nfs/share/instances/gbd/cnf/0038cea06eae4c3234b7bb65d9a8497c-unif-k7-r89-v65-c5785-S709270457-007.cnf.xz	0038cea06eae4c3234b7bb65d9a8497c	9ad8991134b4b8fce5115a69f27fb3e6	uniform-random	sat	random_2009	5785	65	146422	0	0	0	0	0	0	5785	0	0	0	381	384	38	40
/nfs/share/instances/gbd/cnf/003a77d2aa15a5f93aa2cfe79b986c9e-fclqcolor-20-15-15.shuffled-as.sat05-1270.cnf.xz	003a77d2aa15a5f93aa2cfe79b986c9e	52b4b2deffe6f3a04cde483bc0665f3a	coloring	sat	anni_2022	49835	790	718484	0	7050	42750	0	0	0	0	0	0	35	24809	28599	7950	5980
/nfs/share/instances/gbd/cnf/003de2086be59a5fb7a7aaad0992cf47-x9-07025.sat.sanitized.cnf.xz	003de2086be59a5fb7a7aaad0992cf47	b4980faa72567edd1a8724e53088db1d	hamiltonian	unknown	submissions_2024	3146	350	38238	0	2866	0	66	148	66	0	0	0	0	2866	280	280	2866
/nfs/share/instances/gbd/cnf/003deabca05a76f3ee449221a80d8b62-42-127629.cnf.xz	003deabca05a76f3ee449221a80d8b62	b3577d5a29c8de66ba0ef905fbaf8d01	station-repacking	unknown	None	746852	30142	11511107	3	745448	1	1	4	2	0	9	4	1380	745451	1404	1404	745448
/nfs/share/instances/gbd/cnf/0041051c73dcdd885d412a38e8b09fba-rphp4_065_shuffled.cnf.xz	0041051c73dcdd885d412a38e8b09fba	1731a457fce065a6a758b224839f45ee	relativized-pigeon-hole	unsat	anni_2022	6959	520	128602	0	650	0	6305	0	0	0	0	0	4	2235	2499	514	425
/nfs/share/instances/gbd/cnf/0041f01bcd7d0d1f9541cea6da79ad57-SGI_30_60_24_40_2-dir.shuffled-as.sat03-118.cnf.xz	0041f01bcd7d0d1f9541cea6da79ad57	dbc0536d387cedf9d93e2cba738a15d5	subgraph-isomorphism	unsat	anni_2022	58758	720	628649	0	58734	0	0	0	0	0	0	0	24	42651	45366	16083	13368
/nfs/share/instances/gbd/cnf/0042a627dfba7daa62d6ce175540c8a2-unif-k3-r4.267-v12200-c52057-S523604335245593178.cnf.xz	0042a627dfba7daa62d6ce175540c8a2	00e84d0fce166b24a60e3ea4f0c39069	uniform-random	sat	random_2013	52057	12200	977220	0	0	52057	0	0	0	0	0	0	0	26040	26017	6415	6474
/nfs/share/instances/gbd/cnf/0043cfdde474fa37dfeb5ce5952d22f6-unif-c2520-v600-s1111033636.cnf.xz	0043cfdde474fa37dfeb5ce5952d22f6	e572d26645b1d19679631b2bd1f73955	uniform-random	unknown	random_2002	2520	600	37574	0	0	2520	0	0	0	0	0	0	0	1229	1291	322	277
/nfs/share/instances/gbd/cnf/0049919cdf9556bfda5bb365af72414c-57-124044.cnf.xz	0049919cdf9556bfda5bb365af72414c	8bae8be4a4a1f4f09aaa6ddcf82a8c96	station-repacking	unknown	None	759017	30582	11708401	3	757588	2	1	5	3	0	9	3	1403	757591	1429	1429	757588
