ID	k	max_iters	wlhash
00063d88244921d6ec46aeab6866a8e2	1	1	1a25f54fd5b1a21e
00063d88244921d6ec46aeab6866a8e2	1	2	5820bfa92a7c00ef
00063d88244921d6ec46aeab6866a8e2	1	3	06a632d23de0b207
00063d88244921d6ec46aeab6866a8e2	1	4	07fba67a0bd0e3db
00063d88244921d6ec46aeab6866a8e2	1	5	f35d819a715545e2
00063d88244921d6ec46aeab6866a8e2	1	6	2b85252f464ad428
00063d88244921d6ec46aeab6866a8e2	1	7	483cf16f913316bb
00063d88244921d6ec46aeab6866a8e2	1	8	538105db7980428c
00063d88244921d6ec46aeab6866a8e2	1	9	322adb581f5c569e
00063d88244921d6ec46aeab6866a8e2	1	10	f207acf9245a1c85
00063d88244921d6ec46aeab6866a8e2	1	15	8091693e525f10ac
00063d88244921d6ec46aeab6866a8e2	1	25	5b474deb348e808c
00063d88244921d6ec46aeab6866a8e2	1	50	5b474deb348e808c
00063d88244921d6ec46aeab6866a8e2	1	100	5b474deb348e808c
00072cf107ae1349c8c59a15c5ce4af1	1	1	0bcfc1810afd6d9e
00072cf107ae1349c8c59a15c5ce4af1	1	2	975f3692f6cfa2b1
00072cf107ae1349c8c59a15c5ce4af1	1	3	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	4	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	5	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	6	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	7	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	8	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	9	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	10	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	15	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	25	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	50	07300669d9cf4222
00072cf107ae1349c8c59a15c5ce4af1	1	100	07300669d9cf4222
00076733bdbce94d7e44eca84f1425f0	1	1	b46e0fdb8d190ad0
00076733bdbce94d7e44eca84f1425f0	1	2	cfcd99ae4e0546ea
00076733bdbce94d7e44eca84f1425f0	1	3	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	4	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	5	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	6	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	7	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	8	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	9	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	10	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	15	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	25	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	50	60529e3f7e774c3f
00076733bdbce94d7e44eca84f1425f0	1	100	60529e3f7e774c3f
000781b7a545fe723159e53127aff659	1	1	fa0820581e17d1ac
000781b7a545fe723159e53127aff659	1	2	ab48ef3328ff87ad
000781b7a545fe723159e53127aff659	1	3	bf06e616f2c3b37c
000781b7a545fe723159e53127aff659	1	4	6b0b937211de3f6f
000781b7a545fe723159e53127aff659	1	5	363378381dc6ed4b
000781b7a545fe723159e53127aff659	1	6	47954e7be3c1e445
000781b7a545fe723159e53127aff659	1	7	23ef500e8a9ce6ca
000781b7a545fe723159e53127aff659	1	8	e1f9421165bce257
000781b7a545fe723159e53127aff659	1	9	6a637c9487f65007
000781b7a545fe723159e53127aff659	1	10	e3aaab81959785da
000781b7a545fe723159e53127aff659	1	15	7374b0b6464a435d
000781b7a545fe723159e53127aff659	1	25	dd7cacdb465861aa
000781b7a545fe723159e53127aff659	1	50	dd7cacdb465861aa
000781b7a545fe723159e53127aff659	1	100	dd7cacdb465861aa
000a41cdca43be89ed62ea3abf2d0b64	1	1	290732495219c4b9
000a41cdca43be89ed62ea3abf2d0b64	1	2	41366c05f3521dcc
000a41cdca43be89ed62ea3abf2d0b64	1	3	cdaa16e2236068dc
000a41cdca43be89ed62ea3abf2d0b64	1	4	91a45e781aaa0d36
000a41cdca43be89ed62ea3abf2d0b64	1	5	2cff1ae81c9f20c3
000a41cdca43be89ed62ea3abf2d0b64	1	6	3e890d3309d9ca61
000a41cdca43be89ed62ea3abf2d0b64	1	7	6a11ff5039ac6590
000a41cdca43be89ed62ea3abf2d0b64	1	8	181b40f98a95a5ed
000a41cdca43be89ed62ea3abf2d0b64	1	9	ac53fcf8758b773c
000a41cdca43be89ed62ea3abf2d0b64	1	10	cb4e65352eb86ef8
000a41cdca43be89ed62ea3abf2d0b64	1	15	4f6592b61e35d1cd
000a41cdca43be89ed62ea3abf2d0b64	1	25	4f6592b61e35d1cd
000a41cdca43be89ed62ea3abf2d0b64	1	50	4f6592b61e35d1cd
000a41cdca43be89ed62ea3abf2d0b64	1	100	4f6592b61e35d1cd
000e4e0db67e27083649c20a2a3f761b	1	1	e71efc0a44ea3160
000e4e0db67e27083649c20a2a3f761b	1	2	3c743d9531b5aa26
000e4e0db67e27083649c20a2a3f761b	1	3	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	4	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	5	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	6	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	7	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	8	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	9	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	10	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	15	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	25	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	50	97e18ab99c9ac8f5
000e4e0db67e27083649c20a2a3f761b	1	100	97e18ab99c9ac8f5
00107d84f57e2371476a7b2cabe0b351	1	1	8d54330d827abfad
00107d84f57e2371476a7b2cabe0b351	1	2	e1a7fa47ef7f6a7d
00107d84f57e2371476a7b2cabe0b351	1	3	4bf16f43d4c4927a
00107d84f57e2371476a7b2cabe0b351	1	4	c2f2b7ed98778eaa
00107d84f57e2371476a7b2cabe0b351	1	5	79b3a59a348a799f
00107d84f57e2371476a7b2cabe0b351	1	6	46fea2c10a1ace5f
00107d84f57e2371476a7b2cabe0b351	1	7	4e9483298ff82ff6
00107d84f57e2371476a7b2cabe0b351	1	8	23a19d85c1c29da5
00107d84f57e2371476a7b2cabe0b351	1	9	1d7d6c02da2e8865
00107d84f57e2371476a7b2cabe0b351	1	10	fac74a94e7453909
00107d84f57e2371476a7b2cabe0b351	1	15	82b3f3839e375789
00107d84f57e2371476a7b2cabe0b351	1	25	14a08d33a4701fac
00107d84f57e2371476a7b2cabe0b351	1	50	62b760042f88d488
00107d84f57e2371476a7b2cabe0b351	1	100	NA
001304ba2e4e8adbd179aa3d8acb697b	1	1	3d73bfb316c8d8a9
001304ba2e4e8adbd179aa3d8acb697b	1	2	3b94b45b2e4c8755
001304ba2e4e8adbd179aa3d8acb697b	1	3	cd7317df7b253d09
001304ba2e4e8adbd179aa3d8acb697b	1	4	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	5	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	6	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	7	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	8	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	9	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	10	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	15	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	25	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	50	c1e7dba132a04a33
001304ba2e4e8adbd179aa3d8acb697b	1	100	c1e7dba132a04a33
001344c9b3cb1626af1c7c35155cf26a	1	1	e434a87a9f8071ae
001344c9b3cb1626af1c7c35155cf26a	1	2	43e890710d46cb9d
001344c9b3cb1626af1c7c35155cf26a	1	3	5a74380503317d09
001344c9b3cb1626af1c7c35155cf26a	1	4	33aa9d3038a2203e
001344c9b3cb1626af1c7c35155cf26a	1	5	709a1fe977dd3b8b
001344c9b3cb1626af1c7c35155cf26a	1	6	73605a913611d382
001344c9b3cb1626af1c7c35155cf26a	1	7	0767e8c31d47c4a5
