hash	mode	neigh_hop	advanced_sort	sum_sort	wlhash	stabilized_at	cpu_time_s	max_mem_kib
00063d88244921d6ec46aeab6866a8e2	none	0	0	0	ea8fa0f0ecfb333e	26	9.00685	31884
00072cf107ae1349c8c59a15c5ce4af1	none	0	0	0	9e072dca530d7a40	4	0.030214	0
00076733bdbce94d7e44eca84f1425f0	none	0	0	0	5dac3f1f46833edc	9	51.3279	342616
000781b7a545fe723159e53127aff659	none	0	0	0	45a7d68952db5ce9	24	60.729	154588
000a41cdca43be89ed62ea3abf2d0b64	none	0	0	0	8817ec1923525b06	12	49.8628	229544
000e4e0db67e27083649c20a2a3f761b	none	0	0	0	94844a435ed1faea	4	134.485	1403652
00107d84f57e2371476a7b2cabe0b351	none	0	0	0	NA	NA	3.22	NA
001304ba2e4e8adbd179aa3d8acb697b	none	0	0	0	6d9a2b4a9b19dc5e	5	0.028053	0
001344c9b3cb1626af1c7c35155cf26a	none	0	0	0	NA	NA	3.56	NA
0020aa0c69379226948904ad455b6c09	none	0	0	0	1dc57ba8b2339b4f	3	0.089833	0
00213e27dabcf679205144f3dde5d37e	none	0	0	0	75d0e0dec90793fd	3	0.09454	0
0022f125b13bd7ccc91e793431c67a52	none	0	0	0	0199b25a47d2b690	13	163.238	762744
0025a06f00f6e467f7cf4ef9e649b2a7	none	0	0	0	31c4689dd616263e	40	54.2627	92520
00260e67c792062bc3e10e6b94522101	none	0	0	0	edf8274d724e3b72	24	91.5669	228004
0026aaf8bbf2df73cb5db34a7b7a7a04	none	0	0	0	7ebe76a7710dc065	24	79.7389	211784
00274d0721d26f867b2573377712cac9	none	0	0	0	392597cc7b19ee73	15	19.1042	86880
00275f3018d50ba38867268739dfc44f	none	0	0	0	7d70a2e3d8c2ae0a	5	0.038426	0
002a0330958a14deb23dcc84b5489e8a	none	0	0	0	969de1369e9085f1	58	177.831	223936
002bed2572e6e326815e674f288de8b4	none	0	0	0	1b235a796fe28868	20	0.65833	0
003154fc91d34d29ec5cf93b0bc32143	none	0	0	0	49d0aac6c7fd6222	24	25.3458	87076
00316e383123773ae35d3210f5396205	none	0	0	0	481daf60799368ae	5	0.09499	0
0033baadbd48d3f880e9b5a733bd4950	none	0	0	0	29865d9ee527fa44	1	0.025378	0
0035666407d4ccb5082630045d60a5fe	none	0	0	0	dff16a564dc8782d	3	0.143327	0
0038cea06eae4c3234b7bb65d9a8497c	none	0	0	0	86fe91bc55cad0c4	3	0.143216	0
003a77d2aa15a5f93aa2cfe79b986c9e	none	0	0	0	0c2edd9658356c79	2	0.383992	0
003de2086be59a5fb7a7aaad0992cf47	none	0	0	0	8b28f3ae06e19023	6	0.076585	0
003deabca05a76f3ee449221a80d8b62	none	0	0	0	7562db52ecefc111	24	87.6917	174556
0041051c73dcdd885d412a38e8b09fba	none	0	0	0	f35b6f503c96c353	3	0.133209	0
