hash	mode	wlhash	stabilized_at	cpu_time_s	max_mem_kib	local	isohash	family	result	clauses	variables	bytes	cls1	cls2	cls3	cls4	cls5	cls6	cls7	cls8	cls9	cls10p	horn	invhorn	positive	negative
00063d88244921d6ec46aeab6866a8e2	none	ea8fa0f0ecfb333e	26	8.74619	29144	/nfs/share/instances/gbd/cnf/00063d88244921d6ec46aeab6866a8e2-6s16.cnf.xz	d642ae7fc5e1fd972d4b130407ea4519	miter	unsat	91888	31486	1503071	1	61258	30629	0	0	0	0	0	0	0	68623	47944	13315	36581
00072cf107ae1349c8c59a15c5ce4af1	none	9e072dca530d7a40	4	0.046623	0	/nfs/share/instances/gbd/cnf/00072cf107ae1349c8c59a15c5ce4af1-unif-c1275-v300-s428434218.cnf.xz	1ef05341ba4017bd107a9b2aa6bb2841	uniform-random	unknown	1275	300	18322	0	0	1275	0	0	0	0	0	0	0	624	651	176	156
00076733bdbce94d7e44eca84f1425f0	none	5dac3f1f46833edc	9	50.3128	342256	/nfs/share/instances/gbd/cnf/00076733bdbce94d7e44eca84f1425f0-vlsat2_16297_1562268.dimacs.cnf.xz	a10da8b861b1e1a1a17af27060e94f6e	petrinet-concurrency	unsat	1562268	16297	22875440	1	1561890	1	1	1	1	1	1	1	370	1561890	379	379	1561889
000781b7a545fe723159e53127aff659	none	45a7d68952db5ce9	24	65.4812	154584	/nfs/share/instances/gbd/cnf/000781b7a545fe723159e53127aff659-42-121369.cnf.xz	8bf4adb12d796e486a0915ecd7dce20f	station-repacking	unknown	653485	28135	10044450	3	652176	1	1	4	2	0	9	4	1285	652179	1309	1309	652176
000a41cdca43be89ed62ea3abf2d0b64	none	8817ec1923525b06	12	34.6833	228120	/nfs/share/instances/gbd/cnf/000a41cdca43be89ed62ea3abf2d0b64-snw_13_9_pre.cnf.xz	bb3b6ceaeee2d5e9fd8e1066389a8a94	sorting-networks	sat	830517	24517	16343754	0	101968	544762	183690	0	0	6	0	0	91	680173	110547	4244	58680
000e4e0db67e27083649c20a2a3f761b	none	94844a435ed1faea	4	133.813	1398876	/nfs/share/instances/gbd/cnf/000e4e0db67e27083649c20a2a3f761b-unif-k5-r16.0-v250000-c4000000-S2840568844400290198.cnf.xz	0e00b2eed7d862a9322e74aff1d2eb36	uniform-random	sat	4000000	250000	149104452	0	0	0	0	4000000	0	0	0	0	0	749155	750175	125491	124936
00107d84f57e2371476a7b2cabe0b351	none	a8658ee04ed8701b	74	973.821	790104	/nfs/share/instances/gbd/cnf/00107d84f57e2371476a7b2cabe0b351-sudoku-N30-18.cnf.xz	74869413385b1be800a65bb6252cd90d	sudoku	unsat	2262659	841990	45772665	657	1531740	521614	101500	774	17280	0	0	89064	30	2031366	882190	106057	804300
001304ba2e4e8adbd179aa3d8acb697b	none	6d9a2b4a9b19dc5e	5	0.03352	0	/nfs/share/instances/gbd/cnf/001304ba2e4e8adbd179aa3d8acb697b-x9-03065.sat.sanitized.cnf.xz	1d8c6a1369f306c697207991a8fd752a	hamiltonian	unknown	1347	150	15136	0	1227	0	27	66	27	0	0	0	0	1227	120	120	1227
001344c9b3cb1626af1c7c35155cf26a	none	387398b6db8f4d19	NA	1789.08	1361276	/nfs/share/instances/gbd/cnf/001344c9b3cb1626af1c7c35155cf26a-bench_13439.smt2.cnf.xz	72b1b54fb940ce8eb1855bbcd8d4a750	agile	unsat	4751686	1313245	108797045	1572	1204899	3468194	76938	1	0	3	55	0	24	2099472	3332928	706329	703153
0020aa0c69379226948904ad455b6c09	none	1dc57ba8b2339b4f	3	0.096448	0	/nfs/share/instances/gbd/cnf/0020aa0c69379226948904ad455b6c09-unif-k7-r89-v45-c4005-S179716588-02.UNSAT.shuffled.cnf.xz	7a6379702cd1a466bc7855c1fd39c502	uniform-random	unsat	4005	45	99357	0	0	0	0	0	0	4005	0	0	0	231	265	38	36
00213e27dabcf679205144f3dde5d37e	none	75d0e0dec90793fd	3	0.092009	0	/nfs/share/instances/gbd/cnf/00213e27dabcf679205144f3dde5d37e-unif-p12-k5-r21.117-v250-c5279-S8618839184587418381.cnf.xz	0afa13deb8144c4a2a366fc314fed25a	uniform-random	sat	5279	250	117580	0	0	0	0	5279	0	0	0	0	0	1007	1018	171	174
0022f125b13bd7ccc91e793431c67a52	none	0199b25a47d2b690	13	151.547	763352	/nfs/share/instances/gbd/cnf/0022f125b13bd7ccc91e793431c67a52-Kakuro-easy-048-ext.xml.hg_4.cnf.xz	f29b0ffa0d1e3681bd2df2ad53f73afa	hypertree-decomposition	sat	2786994	41874	64056109	84	60438	1164744	1561728	0	0	0	0	0	0	1918728	341670	3738	11760
0025a06f00f6e467f7cf4ef9e649b2a7	none	31c4689dd616263e	40	53.5008	96468	/nfs/share/instances/gbd/cnf/0025a06f00f6e467f7cf4ef9e649b2a7-bench_15721.smt2.cnf.xz	d702bb664671ea32cfe33b04ed2acf99	agile	unknown	297058	84922	5481082	389	113715	170502	12452	0	0	0	0	0	0	170810	167913	98498	24262
00260e67c792062bc3e10e6b94522101	none	edf8274d724e3b72	24	103.193	237704	/nfs/share/instances/gbd/cnf/00260e67c792062bc3e10e6b94522101-46-137775.cnf.xz	b43d7a0abfd9b9ecc7c8cdf07df14242	station-repacking	unknown	889030	32971	13747752	3	887493	1	1	5	2	0	9	5	1511	887496	1537	1537	887493
0026aaf8bbf2df73cb5db34a7b7a7a04	none	7ebe76a7710dc065	24	80.5949	211704	/nfs/share/instances/gbd/cnf/0026aaf8bbf2df73cb5db34a7b7a7a04-42-132768.cnf.xz	d7f6183466dc80f719aed63fec0707bc	station-repacking	unknown	809889	31450	12500681	3	808422	1	1	4	2	0	9	4	1443	808425	1467	1467	808422
00274d0721d26f867b2573377712cac9	none	392597cc7b19ee73	15	18.2747	88712	/nfs/share/instances/gbd/cnf/00274d0721d26f867b2573377712cac9-27.smt2.cnf.xz	a98b53d0f8f0e2f592db32ad49a13198	bitvector	sat	284554	89850	5017384	47	147954	136553	0	0	0	0	0	0	0	204797	142502	40947	89461
00275f3018d50ba38867268739dfc44f	none	7d70a2e3d8c2ae0a	5	0.038846	0	/nfs/share/instances/gbd/cnf/00275f3018d50ba38867268739dfc44f-x9-04058.sat.sanitized.cnf.xz	fb9c4b5fc1c151737b9bf2544bafbc56	hamiltonian	unknown	1795	200	20873	0	1635	0	35	90	35	0	0	0	0	1635	160	160	1635
002a0330958a14deb23dcc84b5489e8a	none	969de1369e9085f1	58	166.628	222024	/nfs/share/instances/gbd/cnf/002a0330958a14deb23dcc84b5489e8a-traffic_f_unknown.cnf.xz	227779ac538cd3a2c78c6ff3d8cad235	scheduling	unsat	763101	33320	19183036	0	52598	92683	617820	0	0	0	0	0	0	93867	93869	5067	5076
002bed2572e6e326815e674f288de8b4	none	1b235a796fe28868	20	0.648336	0	/nfs/share/instances/gbd/cnf/002bed2572e6e326815e674f288de8b4-fdmus_b21_341.cnf.xz	7a0032b8aad3b21cda036a79caa5f6eb	fdmus	unsat	7704	2823	106592	6	5334	2364	0	0	0	0	0	0	0	5955	4611	733	2477
003154fc91d34d29ec5cf93b0bc32143	none	49d0aac6c7fd6222	24	25.1465	87812	/nfs/share/instances/gbd/cnf/003154fc91d34d29ec5cf93b0bc32143-54-78879.cnf.xz	3918389491f1e0424a221e5a508d30ff	station-repacking	unknown	320248	18477	4839266	3	319392	1	1	2	1	0	7	1	840	319395	856	856	319392
