id	mode	max_iters	wlhash	stabilized_at	cpu_time_s	max_mem_kib
00063d88244921d6ec46aeab6866a8e2	none	1	aa38c4da997470d9	NA	0.55105	0
00063d88244921d6ec46aeab6866a8e2	none	10	fa40b3aef6204bd0	NA	3.12666	30464
00063d88244921d6ec46aeab6866a8e2	none	11	7018227db3b8adf9	NA	3.40491	28160
00063d88244921d6ec46aeab6866a8e2	none	12	cefa34b63ec51882	NA	3.84539	28160
00063d88244921d6ec46aeab6866a8e2	none	2	b24a4acce43c85da	NA	0.92746	0
00063d88244921d6ec46aeab6866a8e2	none	3	d6bc2bd33b787550	NA	1.15054	0
00063d88244921d6ec46aeab6866a8e2	none	4	d024428157aaffab	NA	1.36622	0
00063d88244921d6ec46aeab6866a8e2	none	5	0c8c7fd130c9128f	NA	1.66123	0
00063d88244921d6ec46aeab6866a8e2	none	6	0c03828ef4c69e47	NA	2.02686	0
00063d88244921d6ec46aeab6866a8e2	none	7	45ff460c9751736d	NA	2.3885	0
00063d88244921d6ec46aeab6866a8e2	none	8	b9950dba7d7831bc	NA	2.83255	31880
00063d88244921d6ec46aeab6866a8e2	none	9	8053de4c96d9ed35	NA	2.79486	31880
00072cf107ae1349c8c59a15c5ce4af1	none	1	004dcaad963f0710	NA	0.026903	0
00072cf107ae1349c8c59a15c5ce4af1	none	10	9e072dca530d7a40	4	0.036845	0
00072cf107ae1349c8c59a15c5ce4af1	none	11	9e072dca530d7a40	4	0.036965	0
00072cf107ae1349c8c59a15c5ce4af1	none	12	9e072dca530d7a40	4	0.036491	0
00072cf107ae1349c8c59a15c5ce4af1	none	2	d68e043e2b5b8560	NA	0.029741	0
00072cf107ae1349c8c59a15c5ce4af1	none	3	3cbccd722aa197ec	NA	0.03168	0
00072cf107ae1349c8c59a15c5ce4af1	none	4	9e072dca530d7a40	4	0.049542	0
00072cf107ae1349c8c59a15c5ce4af1	none	5	9e072dca530d7a40	4	0.049661	0
00072cf107ae1349c8c59a15c5ce4af1	none	6	9e072dca530d7a40	4	0.033616	0
00072cf107ae1349c8c59a15c5ce4af1	none	7	9e072dca530d7a40	4	0.035749	0
00072cf107ae1349c8c59a15c5ce4af1	none	8	9e072dca530d7a40	4	0.046013	0
00072cf107ae1349c8c59a15c5ce4af1	none	9	9e072dca530d7a40	4	0.038611	0
