hash,mode,max_iters,wlhash,stabilized_at,cpu_time_s,max_mem_kib,local,isohash,family,result,track,clauses,variables,bytes,cls1,cls2,cls3,cls4,cls5,cls6,cls7,cls8,cls9,cls10p,horn,invhorn,positive,negative
24931702cb278be802971f19722fc652,nomode,9,a5189ed430ed97fc,NA,0.008867,6144,/nfs/share/instances/gbd/cnf/24931702cb278be802971f19722fc652-gencnf-k4-r9.88-v200-c1976-01-S611227137.used-as.sat04-171.cnf.xz,6a61c0d09e01602ee81937bf206cccc6,random,unknown,random_2004,1976,200,35154,0,0,0,1976,0,0,0,0,0,0,608,665,150,138
28c6dfee40643e055ca2a3db6ddcea68,nomode,9,1f2c09c856090b28,NA,0.142474,12288,/nfs/share/instances/gbd/cnf/28c6dfee40643e055ca2a3db6ddcea68-em_9_3_5_fbc.cnf.xz,82f2beb6802fbd256742fc5c8cac1d96,edge-matching,sat,anni_2022,59728,3857,1080094,0,24387,26002,4516,4669,0,0,0,0,154,45751,16557,306,21807
f0578fe83cc13587caebcbfb3774ccd2,nomode,9,c5ba018cd08f422a,NA,0.969529,54628,/nfs/share/instances/gbd/cnf/f0578fe83cc13587caebcbfb3774ccd2-52-113693.cnf.xz,0d4bb16dcff5d5a9340ee3f855ea1f74,station-repacking,unknown,None,554459,25722,8494199,3,553268,1,1,4,2,0,8,3,1169,553271,1191,1191,553268
6aabb1d03cd4cec8edc3fd6703086901,nomode,9,1e009c18d8a19824,NA,1.76273,97476,/nfs/share/instances/gbd/cnf/6aabb1d03cd4cec8edc3fd6703086901-55-142993.cnf.xz,44bd4ba4b27aad5d5a67e572683e7a2a,station-repacking,unknown,None,1058083,36473,16408728,3,1056385,1,1,6,3,0,9,6,1669,1056388,1698,1698,1056385
fe9ada08d52a38c7d0e5a43fc10b44dc,nomode,9,4b53ad6f7ea5c11d,NA,0.92031,33768,/nfs/share/instances/gbd/cnf/fe9ada08d52a38c7d0e5a43fc10b44dc-smtlib-qfbv-aigs-nnrpd_nnrpd_vc20413-tseitin.cnf.xz,6d0b2caad9ba2ce47acd1b2038559cbe,bitvector,sat,None,303401,103503,5203599,2,202266,101133,0,0,0,0,0,0,0,219756,154384,47886,131529
17e8306027c68ab160d69bd42775078d,nomode,9,1bed6fd771e1352d,NA,0.031358,4608,/nfs/share/instances/gbd/cnf/17e8306027c68ab160d69bd42775078d-unif-k7-r87.79-v112-c9832-S9023760709526410976.cnf.xz,2fb521e9c9f32ebbe66f9d4f802f141e,uniform-random,sat,random_2013,9832,112,261439,0,0,0,0,0,0,9832,0,0,0,636,595,68,81
c2dd17ac9cfd69732745c4766d9afc04,nomode,9,235f6939eae481be,NA,0.343406,16896,/nfs/share/instances/gbd/cnf/c2dd17ac9cfd69732745c4766d9afc04-g6bid.cnf.xz,d071319a2142d40dea2e273917f53673,hardware-verification,unsat,anni_2022,118192,40371,1935026,1,78794,39397,0,0,0,0,0,0,0,94422,84840,5296,17612
5fb55df1071de5851ceee752efae15b4,nomode,9,ed73a8b65def1b2e,NA,0.212198,13824,/nfs/share/instances/gbd/cnf/5fb55df1071de5851ceee752efae15b4-bench_1981.smt2.cnf.xz,9fe039d36b47f818de89490dae067216,agile,sat,agile_2016,75222,21680,1343615,542,23164,49692,1759,0,3,57,4,0,1,39056,48180,16435,8600
74acaa627ddc5fdab40d62172f56a827,nomode,9,049901fce7e41234,NA,1.3998,59520,/nfs/share/instances/gbd/cnf/74acaa627ddc5fdab40d62172f56a827-snw_13_8_pre-sc2016.cnf.xz,a334f02da8008361f81f7fb6dc41b3a1,sorting-networks,unsat,main_2019,689272,20446,13260720,0,100954,441282,146952,0,6,0,0,0,78,560267,108536,4873,61557
842e4d2bf4ba67ff7390ed9060a756e1,nomode,9,428e0a9ad090c359,NA,1.02555,54636,/nfs/share/instances/gbd/cnf/842e4d2bf4ba67ff7390ed9060a756e1-50-110246.cnf.xz,559876d4170e7c42d02e0acd1d91b664,station-repacking,unknown,None,569582,26135,8727514,3,568369,1,1,4,3,0,8,3,1190,568372,1213,1213,568369
